premise	initial	counterfactual	original_ending	generated_ending	bert_o1h1	bert_o1h123	bert_consec
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	They sent her a shirt that fit her perfectly. She was so excited to wear it. She was wearing it to her school's graduation ceremony.	6.194532871246338	6.213669776916504	6.073903242746989
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	They sent her a shirt that fit her perfectly. Tara was so excited to wear it. She looked forward to wearing it.	6.194532871246338	6.396642208099365	6.087011019388835
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	They sent her a shirt that fit her perfectly. She was so happy to wear it. She was wearing it to her school prom.	6.194532871246338	6.196761131286621	6.046196301778157
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	DEPRECATED	-1	-1	-1
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	They sent her a shirt that fit her perfectly. She was so happy to finally have a shirt she liked. She was wearing it to her school prom, and she was so excited to wear it.	6.194532871246338	6.208158493041992	6.148328145345052
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	DEPRECATED	-1	-1	-1
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	DEPRECATED	-1	-1	-1
Tara wanted to buy a new shirt for her upcoming school formal.	She went to the mall with her mom.	She knew of a cool place online that did custom fits really cheaply, and ordered  from there.	They browsed shirts from a variety of stores. Tara picked out a floral patterned shirt that she liked best. Tara looked forward to wearing it.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	John was a good student and was always looking for ways to help others. They were both very kind and caring people. Shane was a member of the Boy Scouts of America.	6.377981662750244	6.42221212387085	5.609600861867269
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	John was a good student and was always looking for ways to help others. They were both very kind and caring people. Shane was a bad influence on John.	6.377981662750244	6.407589912414551	5.7507171630859375
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
Shane and John were best friends at school.	Shane was caught stealing and got suspended from school.	Shane enjoyed volunteering his time helping others.	John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons. She explained that Shane was a bad influence on John.	DEPRECATED	-1	-1	-1
